Timestamp,Your Gender Name,Your Age (in Years),Your Permanent Resident Area,Monthly Cost for Buying Internet (with Mobile Data),Monthly Cost for only Phone/Mobile Call,"How much time do you spend daily on social media (e.g., Facebook)?",Do you find it difficult to manage your expenses for your study?,Household Monthly Income,Are you attending online classes regularly?,Have you experienced any physical problems due to online classes?,"If you face any physical problem, then what's kind of problems have you encountered? ",What device do you use for the online class?,How much time do you spend each day on an average in the online classes?,How effective has remote learning been for you?,How helpful your university has been in offering you the resources to learn from home?,How well could you manage time while learning remotely? (Consider 5 being extremely well and 1 being not at all),How helpful are your teachers while studying online?,How helpful was the class material provided to you?,I want to receive the class video recording,Do you enjoy learning remotely?,Online course interaction [I prefer my online courses to be very structured with set due dates similar to face-to-face courses.],Online course interaction [My online courses are set up so that I can interact with my classmates.],Online course interaction [Interaction between the teacher and students is essential to online learning.],Online course interaction [The quality of discussions in my online courses is high.],Online course interaction [The lecture material in my online courses is valuable to course discussions.],Online course content and satisfaction [The materials in my online courses support the course goals.],Online course content and satisfaction [The class video recording is not so important for me.],Online course content and satisfaction [On-campus class (face-to-face class) and online class are the same for me.],Online course content and satisfaction [I think I learn more in online classes than in on-campus classes (face-to-face classes).],Online course content and satisfaction [I prefer online courses to on-campus classes (face-to-face classes).],Assignment and Homework for Online Class [I want to receive homework for my online course.],Assignment and Homework for Online Class [I want to receive the assignment for my online course.],Assignment and Homework for Online Class [I want  to participate in the online exam.],Assignment and Homework for Online Class [I want to participate in the quiz in the online class.]
10/22/2020 14:13:05,Male,24,Rural,500,200,8 hours,Yes,40000,Yes,Yes,"Headache, Hearing impairment",Laptop,3-5 hours,Slightly effective,Not at all helpful,1,Moderately helpful,Not so helpful,After each class,"Yes, absolutely",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
10/22/2020 14:14:47,Female,20,Urban,1000,200,7 hours,No,50000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,3-5 hours,Slightly effective,Moderately helpful,2,Very helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree
10/22/2020 14:20:53,Male,21,Semi-urban,1000,500,8 hours,Yes,22000,Yes,Yes,Headache,Smartphone,1-3 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree
10/22/2020 14:21:04,Female,20,Urban,500,100,4 hour,No,20000,Yes,Yes,Headache,Laptop,3-5 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree
10/22/2020 14:23:48,Female,21,Urban,500,100,3 hours,No,50000,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Slightly effective,Moderately helpful,2,Moderately helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree
10/22/2020 14:25:44,Female,19,Urban,1500,20,6,Yes,50000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,5-7 hours,Not at all effective,Not at all helpful,1,Moderately helpful,Somewhat helpful,After each class,"No, not at all",Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
10/22/2020 14:26:09,Female,22,Urban,500,100,2 hours,No,50000,Yes,Yes,"Headache, I have severe migraine problem & recently its causing harm to my eyes too.",Smartphone,1-3 hours,Slightly effective,Slightly helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:26:13,Female,22,Urban,500,100,2 hours,No,50000,Yes,Yes,"Headache, I have severe migraine problem & recently its causing harm to my eyes too.",Smartphone,1-3 hours,Slightly effective,Slightly helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:28:25,Female,20,Rural,500,20,4 hour,Yes,0,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Not at all effective,Slightly helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree
10/22/2020 14:28:32,Male,25,Rural,600,200,1 hour,Yes,20000,No,No,,Smartphone,3-5 hours,Slightly effective,Moderately helpful,3,Moderately helpful,Somewhat helpful,No need video recording,"No, there are quite a few challenges",Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
10/22/2020 14:33:12,Female,22,Rural,1200,200,3hrs,No,50000,Yes,Yes,"Headache, See dimly",Smartphone,3-5 hours,Slightly effective,Slightly helpful,2,Slightly helpful,Very helpful,After each class,"No, there are quite a few challenges",Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
10/22/2020 14:33:52,Female,20,Urban,1200,50,3-4 hours,No,90000,Yes,Yes,Headache,Laptop,3-5 hours,Slightly effective,Very helpful,3,Moderately helpful,Very helpful,After each class,"Yes, but I would like to change a few things",Strongly disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:33:57,Female,21,Urban,500,100,1HOUR,No,30000,Yes,Yes,Headache,Laptop,1-3 hours,Not at all effective,Very helpful,2,Very helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree
10/22/2020 14:34:00,Male,22,Urban,1300,100,2h,No,90000,Yes,Yes,"Headache, Hearing impairment",Laptop,1-3 hours,Moderately effective,Moderately helpful,4,Very helpful,Very helpful,After each class,"No, there are quite a few challenges",Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree
10/22/2020 14:34:41,Male,22,Semi-urban,500,200,3,No,50000,Yes,No,,Smartphone,3-5 hours,Slightly effective,Moderately helpful,3,Moderately helpful,Somewhat helpful,After completing all classes,"Yes, but I would like to change a few things",Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree
10/22/2020 14:34:54,Male,20,Urban,2000,200,45 min,Yes,50000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,1-3 hours,Moderately effective,Moderately helpful,2,Moderately helpful,Somewhat helpful,After each class,"Yes, but I would like to change a few things",Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:35:34,Female,21,Rural,500,50,5 hours,Yes,30000,Yes,Yes,"Headache, See dimly, Eyes problem ",Smartphone,1-3 hours,Not at all effective,Slightly helpful,2,Moderately helpful,Very helpful,After each class,"No, there are quite a few challenges",Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree
10/22/2020 14:35:36,Female,22,Urban,500,100,2,Yes,30000,Yes,Yes,"Headache, Hearing impairment",Desktop,1-3 hours,Slightly effective,Not at all helpful,1,Very helpful,Somewhat helpful,After each class,"No, there are quite a few challenges",Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
10/22/2020 14:35:56,Female,22,Urban,500,200,4 hours,No,90000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,3-5 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Very helpful,After each class,"Yes, but I would like to change a few things",Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree
10/22/2020 14:36:06,Female,22,Urban,700,500,3h,No,1000000,Yes,Yes,Headache,Smartphone,3-5 hours,Slightly effective,Very helpful,3,Moderately helpful,Somewhat helpful,After each class,"Yes, but I would like to change a few things",Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree
10/22/2020 14:36:47,Male,20,Semi-urban,1200,50,2,No,30000,Yes,Yes,See dimly,Laptop,3-5 hours,Slightly effective,Slightly helpful,3,Moderately helpful,Somewhat helpful,After completing all classes,"Yes, but I would like to change a few things",Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
10/22/2020 14:37:03,Female,22,Rural,600,100,1.5,No,60000,Yes,Yes,"Headache, See dimly, Hearing impairment",Smartphone,3-5 hours,Not at all effective,Not at all helpful,2,Moderately helpful,Somewhat helpful,After each class,"No, not at all",Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
